0	131772	2689
1	118480	4936
2	112332	7170
3	108009	9392
4	106641	11849
5	104322	14225
6	101037	16448
7	97898	18647
8	95121	20880
9	92500	23125
10	90221	25446
11	87936	27769
12	85708	30113
13	83834	32602
14	82269	35258
15	80164	37724
16	77953	40158
17	75563	42504
18	73210	44870
19	70855	47237
20	68484	49592
21	66129	51959
22	63760	54314
23	62041	57269
24	59636	59636
25	57327	62104
26	55031	64602
27	52810	67213
28	50458	69680
29	48077	72115
30	45663	74503
31	43264	76915
32	40836	79270
33	38391	81581
34	35963	83914
35	33583	86358
36	31295	89072
37	28907	91539
38	26486	93906
39	24059	96239
40	21647	98617
41	19249	101061
42	16840	103450
43	14500	106339
44	12072	108650
45	9655	111039
46	7235	113361
47	4826	115839
48	2412	118194
49	0	120936
