0	358541	7317
1	353744	14739
2	346514	22117
3	337028	29306
4	327984	36442
5	320622	43721
6	315671	51388
7	308111	58687
8	301421	66165
9	294797	73699
10	290459	81924
11	282790	89302
12	274630	96491
13	266158	103506
14	258003	110573
15	250458	117862
16	242553	124951
17	234974	132173
18	227634	139517
19	231449	154299
20	222935	161436
21	214282	168364
22	206444	175859
23	198625	183346
24	190537	190537
25	182782	198014
26	175128	205585
27	167070	212635
28	159402	220127
29	151796	227694
30	143870	234735
31	135995	241770
32	128176	248814
33	120388	255824
34	112577	262680
35	104888	269713
36	97270	276847
37	89720	284113
38	82315	291847
39	74839	299358
40	67256	306391
41	59742	313647
42	52234	320870
43	44720	327948
44	37248	335238
45	29799	342696
46	22329	349829
47	14863	356729
48	7426	363896
49	0	371230
